TMX,TMY,Tectonic Bedrock Age (MA),Interpreted Bedrock Age (MA),TMI,RTP,1VD,DGIR,AuSREM,Prox_Ultramafic Source,Prox_MajorCrustal,Prox_Fault,worms_mag_1km,worms_mag_4.6km,worms_mag_11km,worms_mag_50km,worms_grav_1km,worms_grav_4.6km,worms_grav_11km,worms_grav_50km,K_pct,Th_ppm,U_ppm,Ni_mine
13465000,-3080000,3010,3010,-41.54988098,27.65886497,0.027915606,-26.38272858,220.647,1046.125283,6406.083937,2726.629422,63.826664,47.575476,39.305528,22.740525,29.098851,40.462334,55.720444,56.376786,0.492756,11.644983,1.357595,0
13465000,-3085000,3010,3010,-130.8164368,22.81759071,-0.00067089,-20.49890137,220.354,1646.247756,7064.295567,5195.632715,50.286431,46.836389,37.603066,21.804045,28.432223,41.06252,53.275395,56.296848,0.609477,11.135426,1.318306,0
13465000,-3090000,2960,2960,-182.6746216,-128.3068542,-0.060233306,-4.923324585,220.061,3532.428678,8249.464636,7073.503347,45.905443,46.538929,34.991838,21.440517,29.850282,42.705437,52.293227,56.131549,0.615227,11.228045,1.17994,0
13465000,-3095000,2960,2960,-81.94515991,-68.03274536,-0.06098064,3.070404053,219.746,6400.72675,9610.854568,6524.78598,46.098218,47.301597,34.761606,21.285899,33.364374,44.776377,52.394519,55.876959,0.615227,11.228045,1.17994,0
13465000,-3100000,2960,2960,-48.04458618,9.30143261,0.252238542,29.24782562,219.415,10110.60626,10589.85955,4693.503608,48.624689,47.026151,35.910799,21.161042,24.408566,41.884744,52.907803,55.524801,0.647819,10.581776,1.164253,0
13465000,-3105000,2960,2960,-159.6211243,-104.047554,-0.296336889,38.72742081,219.077,9184.77738,11270.79316,2192.395239,70.554736,46.144217,36.863567,21.083941,27.285783,42.009387,53.757499,55.06139,0.657105,10.205094,1.290478,0
13465000,-3110000,2960,2960,-103.7493134,-21.29942894,0.0855086,-37.4967804,218.679,4291.225889,11660.41229,516.5173943,59.104248,44.632489,41.60359,21.157866,29.902991,44.236326,54.978776,54.466203,0.691862,8.943983,1.077718,0
13465000,-3115000,3010,3010,-34.96974564,57.54700851,0.165491134,-129.1322632,218.282,1462.980628,12860.53355,1003.790069,41.174075,36.015783,43.03832,21.427324,34.409779,48.87387,56.547645,53.71012,0.782357,8.420826,1.411891,0
13465000,-3120000,3010,3010,-102.7082825,-1.368514538,-0.079528764,-186.3466644,217.877,3497.802333,14176.93148,2851.35322,35.743278,35.23002,43.403979,21.903809,41.161369,50.721154,58.128443,52.753806,0.840725,8.613036,2.116942,0
13465000,-3125000,3010,3010,-81.47732544,-2.679065704,-0.048825111,-219.940918,217.468,5781.659615,15263.42085,4591.078996,37.649108,41.650405,43.601349,22.498063,35.943021,44.377633,59.2593,51.548145,1.052598,7.696874,0.906193,0
13465000,-3130000,3010,3010,-44.15486145,24.86164474,0.020060688,-215.7104797,217.064,7795.991649,16415.32146,6543.708138,33.444033,44.434799,43.78678,22.793991,35.957317,41.931851,57.87935,50.041755,1.638064,13.512053,1.69366,0
13465000,-3135000,3010,3010,-94.63270569,14.22727299,-0.206426084,-207.6789551,216.69,10002.89135,16809.5788,7761.563269,42.131294,44.230649,43.962846,22.623979,28.087051,41.425156,53.823512,48.203572,1.45723,19.352636,2.432642,0
13465000,-3140000,3010,3010,-86.14618683,24.99236107,-0.012581011,-176.2000732,216.316,7225.713187,17416.30472,8551.837536,43.255061,44.031705,44.089054,23.241213,28.506804,42.580416,54.052705,46.058115,1.45723,19.352636,2.432642,0
13465000,-3145000,3010,3010,-86.67203522,-22.85789299,0.031958383,-144.2723083,216.004,5273.331792,18101.55646,9939.252096,49.182397,43.27831,44.112036,23.96609,44.988624,47.780666,56.86566,43.691302,0.957857,14.899986,1.291649,0
13465000,-3150000,3010,3010,-25.41163445,137.8050232,0.139406741,-77.08945465,215.724,3977.822954,18356.8199,13181.32487,49.685686,38.739899,43.99159,24.710388,39.714827,56.78381,54.729189,41.147152,0.805059,12.914951,0.890512,0
13465000,-3155000,2960,2960,-216.7489624,-73.14458466,-0.150866285,15.29965973,215.471,2738.199363,18393.00078,15508.69645,49.759918,38.511781,43.718623,25.472976,30.684254,43.126568,53.510571,42.698964,0.606984,13.046199,1.047426,0
13465000,-3160000,2960,2960,-157.7961426,-62.06035995,0.117201082,79.58924866,215.343,0,18201.41612,16420.79252,47.581684,44.77178,43.299865,26.233703,27.824201,38.9473,52.981669,44.513006,0.735054,13.401307,0.884291,0
13465000,-3165000,3010,3010,-230.4565582,-186.6492004,-0.082247801,64.73147583,215.215,2538.427326,17846.42612,17436.67331,45.65961,44.027932,42.757439,26.998638,27.514549,39.964095,52.830487,46.036122,0.825926,12.780817,1.220072,0
13465000,-3170000,2960,2960,-96.19419861,-52.31579971,0.118409827,21.75662994,215.239,121.2734847,17390.44727,17794.365,45.151369,25.834235,42.173965,27.767827,28.56271,43.618462,53.003393,47.36794,0.864387,10.82722,0.844129,0
13465000,-3175000,2960,2960,-198.7195587,-122.287178,-0.15501067,-47.65458679,215.329,422.1291334,16619.95959,17024.33546,43.478572,34.354564,41.654034,28.517211,37.215663,49.839391,53.717756,48.522733,1.178372,9.988798,1.208886,0
